canonical_source_id,source_type,volume_count,occurrences,administrations,item_kinds,path_text,volumes
central-intelligence-agency-langley-virginia-office-of-near-10c878f4,unpublished,3,3,carter,container,"Central Intelligence Agency, Langley, Virginia > Office of Near East and South Asia Analysis, Directorate of Intelligence",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v18
central-intelligence-agency-langley-virginia-office-of-the-d-dab0b992,unpublished,3,3,carter,source,"Central Intelligence Agency, Langley, Virginia > Office of the Director of Central Intelligence > Job 81B00112R: Subject Files",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v11p1
current-digest-of-the-soviet-press-3d5c9163,published,3,3,carter; reagan,source,Current Digest of the Soviet Press,frus1977-80v06; frus1981-88v03; frus1981-88v06
department-of-state-washington-d-c-office-of-the-secretariat-d402833b,unpublished,3,3,carter,source,"Department of State, Washington D.C. > Office of the Secretariat Staff, Cyrus R. Vance, Secretary of State-1977-1980, Lot 84D241",frus1977-80v09; frus1977-80v09Ed2; frus1977-80v18
department-of-state-washington-d-c-d-reels-44316587,unpublished,3,3,bush-ghw; reagan,source,"Department of State, Washington, D.C. > D Reels",frus1981-88v01; frus1981-88v44p1; frus1989-92v31
department-of-state-washington-d-c-n-reels-f5859f0c,unpublished,3,3,bush-ghw; reagan,source,"Department of State, Washington, D.C. > N Reels",frus1981-88v01; frus1981-88v44p1; frus1989-92v31
department-of-state-washington-d-c-p-reels-dc70a676,unpublished,3,3,bush-ghw; reagan,source,"Department of State, Washington, D.C. > P Reels",frus1981-88v01; frus1981-88v44p1; frus1989-92v31
jimmy-carter-library-atlanta-georgia-donated-historical-mate-8b3337eb,unpublished,3,3,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Donated Historical Material",frus1977-80v01; frus1977-80v17p1; frus1977-80v30
jimmy-carter-library-atlanta-georgia-office-of-the-staff-sec-70183ab3,unpublished,3,3,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Office of the Staff Secretary",frus1977-80v01; frus1977-80v02; frus1977-80v30
jimmy-carter-library-atlanta-georgia-office-of-the-staff-sec-31b0d997,unpublished,3,3,carter,container; source,"Jimmy Carter Library, Atlanta, Georgia > Office of the Staff Secretary > Handwriting File",frus1977-80v01; frus1977-80v02; frus1977-80v30
jimmy-carter-library-atlanta-georgia-plains-file-subject-fil-5ea7a1a3,unpublished,3,3,carter,source,"Jimmy Carter Library, Atlanta, Georgia > Plains File > Subject File",frus1977-80v01; frus1977-80v17p1; frus1977-80v30
jimmy-carter-library-atlanta-georgia-records-of-the-office-o-4730b24b,unpublished,3,3,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Records of the Office of the National Security Adviser",frus1977-80v01; frus1977-80v02; frus1977-80v24
jimmy-carter-library-atlanta-georgia-records-of-the-office-o-62918e93,unpublished,3,3,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Records of the Office of the National Security Adviser > Staff Material",frus1977-80v01; frus1977-80v02; frus1977-80v24
jimmy-carter-library-atlanta-georgia-staff-office-files-c5d8e4ae,unpublished,3,3,carter,container,"Jimmy Carter Library, Atlanta, Georgia > Staff Office Files",frus1977-80v01; frus1977-80v02; frus1977-80v30
jimmy-carter-presidential-library-atlanta-georgia-national-s-f39513a4,unpublished,3,3,carter,source,"Jimmy Carter Presidential Library, Atlanta, Georgia > National Security Affairs > Staff Material > Europe, USSR, and East/West",frus1977-80v06; frus1977-80v21; frus1977-80v26
